evidence_id,record_type,record_id,field_name,source_id,source_url,observed_at,snippet,selector,confidence,content_sha256,parser_version,attribution
d7e9d6ab-1db8-5b74-ab9b-c5723b697748,company,bb092bc5-11ab-5680-ad8a-247e2717a21a,record,remotive,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2091099,2026-08-28 21:38:32.023543+05:45,Lemon.io,,0.75,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
779d7a7f-8616-50b6-b9cb-9e9ce09fb5f3,company,c60faedc-2304-504e-8ecb-88655d4dc40e,record,remoteok,https://remoteOK.com/remote-jobs/remote-dtp-operator-jobtrade-1137099,2026-08-28 21:38:35.838926+05:45,JobTrade,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
005a4ed6-cdef-5bf3-8bbd-d5cc381ca1f1,company,c76159de-34fc-5ea0-b65d-eb9bb94655a8,record,remoteok,https://remoteOK.com/remote-jobs/remote-beauty-merchandiser-shoppers-drug-mart-1137055,2026-08-28 21:38:35.839926+05:45,Shoppers Drug Mart,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
05508b83-ad1d-56d0-99d9-40482c8bbdee,company,c76159de-34fc-5ea0-b65d-eb9bb94655a8,record,remoteok,https://remoteOK.com/remote-jobs/remote-post-office-manager-shoppers-drug-mart-1137063,2026-08-28 21:38:35.839926+05:45,Shoppers Drug Mart,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
077baaae-cdaa-519c-8588-4848ceac91db,company,db2b7971-00cd-5f7e-9ab6-f09614cadedc,record,remoteok,https://remoteOK.com/remote-jobs/remote-estimator-reed-1137146,2026-08-28 21:38:35.837926+05:45,Reed,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
f5fb3872-ea62-589a-8b65-49a29ba4c532,company,e0cdc8f2-808a-5fd9-bc00-b6f8f8a733d0,record,remotive,https://remotive.com/remote-jobs/sales/inside-sales-contractor-2086540,2026-08-28 21:38:32.023543+05:45,"Credit Wellness, LLC",,0.75,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
84d05911-f977-55a5-a9b2-4c89b07c35ba,company,e406603f-9eb9-55d1-947d-fe66a87c6ac6,record,remoteok,https://remoteOK.com/remote-jobs/remote-senior-backend-engineer-build-ai-agents-salesforge-1137114,2026-08-28 21:38:35.837926+05:45,Salesforge,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
2c9ae80c-6baf-5fa8-895e-d4a29af70d26,company,e68b3172-3665-5ffb-adfc-952ab4143214,record,remotive,https://remotive.com/remote-jobs/all-others/vice-president-technology-digital-strategy-2091104,2026-08-28 21:38:32.023543+05:45,Shatterproof,,0.75,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
b0bbcafd-deaa-5536-b5ac-ba626ecd0d30,company,fa98db09-e9f4-5e3b-824b-d9876e821352,record,remoteok,https://remoteOK.com/remote-jobs/remote-people-director-sisal-hub-albania-1137175,2026-08-28 21:38:35.835922+05:45,Sisal Hub Albania,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
1a2047f3-8ed8-550a-bd09-ae3734bcfe0f,job,065e3adb-40ab-587d-b2c5-266c27d98479,record,remoteok,https://remoteOK.com/remote-jobs/remote-estimator-linsco-ltd-1137060,2026-08-28 21:38:35.839926+05:45,"Estimator | Dronfield,",,0.35,,0.1.0,Remote OK — link to the original Remote OK job page.
